0<= x < 30; y_0 = 63.0 + 0.6x; interpolation 
11430<= x < 11460; y_381 = 19891.0 + -1.7333333333333334x; interpolation 
11460<= x < 11490; y_382 = -14489.0 + 1.2666666666666666x; interpolation 
11490<= x < 11520; y_383 = 65.0 + 0.0x; interpolation 
11520<= x < 11550; y_384 = -6847.0 + 0.6x; interpolation 
11550<= x < 11580; y_385 = 6628.0 + -0.5666666666666667x; interpolation 
11580<= x < 11610; y_386 = -6110.0 + 0.5333333333333333x; interpolation 
11610<= x < 11640; y_387 = 6274.0 + -0.5333333333333333x; interpolation 
11640<= x < 11670; y_388 = -6530.0 + 0.5666666666666667x; interpolation 
11670<= x < 11700; y_389 = 7085.0 + -0.6x; interpolation 
11700<= x < 11730; y_390 = -6955.0 + 0.6x; interpolation 
11730<= x < 11760; y_391 = 6730.0 + -0.5666666666666667x; interpolation 
11760<= x < 11790; y_392 = -7382.0 + 0.6333333333333333x; interpolation 
11790<= x < 11820; y_393 = 1657.0 + -0.13333333333333333x; interpolation 
11820<= x < 11850; y_394 = 4809.0 + -0.4x; interpolation 
11850<= x < 11880; y_395 = -5461.0 + 0.4666666666666667x; interpolation 
11880<= x < 11910; y_396 = 875.0 + -0.06666666666666667x; interpolation 
11910<= x < 11940; y_397 = -713.0 + 0.06666666666666667x; interpolation 
11940<= x < 11970; y_398 = 879.0 + -0.06666666666666667x; interpolation 
11970<= x < 12000; y_399 = 81.0 + 0.0x; interpolation 
12000<= x < 12030; y_400 = -719.0 + 0.06666666666666667x; interpolation 
12030<= x < 12060; y_401 = 6499.0 + -0.5333333333333333x; interpolation 
12060<= x < 12090; y_402 = -6365.0 + 0.5333333333333333x; interpolation 
12090<= x < 12120; y_403 = 6934.0 + -0.5666666666666667x; interpolation 
12120<= x < 12150; y_404 = -6802.0 + 0.5666666666666667x; interpolation 
12150<= x < 12180; y_405 = 6563.0 + -0.5333333333333333x; interpolation 
12180<= x < 12210; y_406 = -6023.0 + 0.5x; interpolation 
12210<= x < 12240; y_407 = 6594.0 + -0.5333333333333333x; interpolation 
12240<= x < 12270; y_408 = -1158.0 + 0.1x; interpolation 
12270<= x < 12300; y_409 = -5248.0 + 0.43333333333333335x; interpolation 
12300<= x < 12330; y_410 = 6232.0 + -0.5x; interpolation 
12330<= x < 12360; y_411 = -5276.0 + 0.43333333333333335x; interpolation 
12360<= x < 12390; y_412 = 5436.0 + -0.43333333333333335x; interpolation 
12390<= x < 12420; y_413 = -6541.0 + 0.5333333333333333x; interpolation 
12420<= x < 12450; y_414 = 1739.0 + -0.13333333333333333x; interpolation 
12450<= x < 12480; y_415 = 5474.0 + -0.43333333333333335x; interpolation 
12480<= x < 12510; y_416 = -6590.0 + 0.5333333333333333x; interpolation 
12510<= x < 12540; y_417 = 6754.0 + -0.5333333333333333x; interpolation 
12540<= x < 12570; y_418 = -1188.0 + 0.1x; interpolation 
12570<= x < 12600; y_419 = -5378.0 + 0.43333333333333335x; interpolation 
12600<= x < 12630; y_420 = 922.0 + -0.06666666666666667x; interpolation 
12630<= x < 12660; y_421 = -1183.0 + 0.1x; interpolation 
12660<= x < 12690; y_422 = 5991.0 + -0.4666666666666667x; interpolation 
12690<= x < 12720; y_423 = -5853.0 + 0.4666666666666667x; interpolation 
12720<= x < 12750; y_424 = 6019.0 + -0.4666666666666667x; interpolation 
12750<= x < 12780; y_425 = -5031.0 + 0.4x; interpolation 
12780<= x < 12810; y_426 = 5619.0 + -0.43333333333333335x; interpolation 
12810<= x < 12840; y_427 = -5483.0 + 0.43333333333333335x; interpolation 
12840<= x < 12870; y_428 = 5645.0 + -0.43333333333333335x; interpolation 
12870<= x < 12900; y_429 = -5938.0 + 0.4666666666666667x; interpolation 
12900<= x < 12930; y_430 = 5242.0 + -0.4x; interpolation 
12930<= x < 12960; y_431 = -4671.0 + 0.36666666666666664x; interpolation 
12960<= x < 12990; y_432 = 4401.0 + -0.3333333333333333x; interpolation 
12990<= x < 13020; y_433 = -5125.0 + 0.4x; interpolation 
13020<= x < 13050; y_434 = 6159.0 + -0.4666666666666667x; interpolation 
13050<= x < 13080; y_435 = -5586.0 + 0.43333333333333335x; interpolation 
13080<= x < 13110; y_436 = 1826.0 + -0.13333333333333333x; interpolation 
13110<= x < 13140; y_437 = -1670.0 + 0.13333333333333333x; interpolation 
13140<= x < 13170; y_438 = 5338.0 + -0.4x; interpolation 
13170<= x < 13200; y_439 = -4759.0 + 0.36666666666666664x; interpolation 
13200<= x < 13230; y_440 = 521.0 + -0.03333333333333333x; interpolation 
13230<= x < 13260; y_441 = -1684.0 + 0.13333333333333333x; interpolation 
13260<= x < 13290; y_442 = 1852.0 + -0.13333333333333333x; interpolation 
13290<= x < 13320; y_443 = -806.0 + 0.06666666666666667x; interpolation 
13320<= x < 13350; y_444 = 1858.0 + -0.13333333333333333x; interpolation 
13350<= x < 13380; y_445 = -1702.0 + 0.13333333333333333x; interpolation 
13380<= x < 13410; y_446 = 1420.0 + -0.1x; interpolation 
13410<= x < 13440; y_447 = 5443.0 + -0.4x; interpolation 
13440<= x < 13470; y_448 = -6653.0 + 0.5x; interpolation 
13470<= x < 13500; y_449 = 6817.0 + -0.5x; interpolation 
13500<= x < 13530; y_450 = -8033.0 + 0.6x; interpolation 
13530<= x < 13560; y_451 = 7752.0 + -0.5666666666666667x; interpolation 
13560<= x < 13590; y_452 = -5808.0 + 0.43333333333333335x; interpolation 
13590<= x < 13620; y_453 = 7782.0 + -0.5666666666666667x; interpolation 
13620<= x < 13650; y_454 = -8562.0 + 0.6333333333333333x; interpolation 
13650<= x < 13680; y_455 = 7363.0 + -0.5333333333333333x; interpolation 
13680<= x < 13710; y_456 = -845.0 + 0.06666666666666667x; interpolation 
13710<= x < 13740; y_457 = 526.0 + -0.03333333333333333x; interpolation 
13740<= x < 13770; y_458 = 18846.0 + -1.3666666666666667x; interpolation 
13770<= x < 13800; y_459 = -21087.0 + 1.5333333333333334x; interpolation 
13800<= x < 13830; y_460 = -3607.0 + 0.26666666666666666x; interpolation 
13830<= x < 13860; y_461 = 6996.0 + -0.5x; interpolation 
13860<= x < 13890; y_462 = -7326.0 + 0.5333333333333333x; interpolation 
13890<= x < 13920; y_463 = 7953.0 + -0.5666666666666667x; interpolation 
13920<= x < 13950; y_464 = -8287.0 + 0.6x; interpolation 
13950<= x < 13980; y_465 = 7523.0 + -0.5333333333333333x; interpolation 
13980<= x < 14010; y_466 = -7389.0 + 0.5333333333333333x; interpolation 
14010<= x < 14040; y_467 = 8022.0 + -0.5666666666666667x; interpolation 
14040<= x < 14070; y_468 = -7890.0 + 0.5666666666666667x; interpolation 
14070<= x < 14100; y_469 = 8056.0 + -0.5666666666666667x; interpolation 
14100<= x < 14130; y_470 = -6984.0 + 0.5x; interpolation 
14130<= x < 14160; y_471 = 7146.0 + -0.5x; interpolation 
14160<= x < 14190; y_472 = -878.0 + 0.06666666666666667x; interpolation 
14190<= x < 14220; y_473 = -6554.0 + 0.4666666666666667x; interpolation 
14220<= x < 14250; y_474 = 7666.0 + -0.5333333333333333x; interpolation 
14250<= x < 14280; y_475 = -7534.0 + 0.5333333333333333x; interpolation 
14280<= x < 14310; y_476 = 6746.0 + -0.4666666666666667x; interpolation 
14310<= x < 14340; y_477 = -6133.0 + 0.43333333333333335x; interpolation 
14340<= x < 14370; y_478 = 6295.0 + -0.43333333333333335x; interpolation 
14370<= x < 14400; y_479 = -7596.0 + 0.5333333333333333x; interpolation 
14400<= x < 14430; y_480 = 564.0 + -0.03333333333333333x; interpolation 
14430<= x < 14460; y_481 = 7779.0 + -0.5333333333333333x; interpolation 
14460<= x < 14490; y_482 = -8127.0 + 0.5666666666666667x; interpolation 
14490<= x < 14520; y_483 = 6846.0 + -0.4666666666666667x; interpolation 
14520<= x < 14550; y_484 = -5738.0 + 0.4x; interpolation 
14550<= x < 14580; y_485 = 5902.0 + -0.4x; interpolation 
14580<= x < 14610; y_486 = -5762.0 + 0.4x; interpolation 
14610<= x < 14640; y_487 = 7387.0 + -0.5x; interpolation 
14640<= x < 14670; y_488 = -2373.0 + 0.16666666666666666x; interpolation 
14670<= x < 14700; y_489 = 3006.0 + -0.2x; interpolation 
14700<= x < 14730; y_490 = -8264.0 + 0.5666666666666667x; interpolation 
14730<= x < 14760; y_491 = 8430.0 + -0.5666666666666667x; interpolation 
14760<= x < 14790; y_492 = -8790.0 + 0.6x; interpolation 
14790<= x < 14820; y_493 = -902.0 + 0.06666666666666667x; interpolation 
14820<= x < 14850; y_494 = 3050.0 + -0.2x; interpolation 
14850<= x < 14880; y_495 = -1405.0 + 0.1x; interpolation 
14880<= x < 14910; y_496 = 1571.0 + -0.1x; interpolation 
14910<= x < 14940; y_497 = -1411.0 + 0.1x; interpolation 
14940<= x < 14970; y_498 = 2075.0 + -0.13333333333333333x; interpolation 
14970<= x < 15000; y_499 = 6067.0 + -0.4x; interpolation 
15000<= x < 15030; y_500 = -1933.0 + 0.13333333333333333x; interpolation 
15030<= x < 15060; y_501 = -4939.0 + 0.3333333333333333x; interpolation 
15060<= x < 15090; y_502 = 5101.0 + -0.3333333333333333x; interpolation 
15090<= x < 15120; y_503 = -5965.0 + 0.4x; interpolation 
15120<= x < 15150; y_504 = 83.0 + 0.0x; interpolation 
15150<= x < 15180; y_505 = 1598.0 + -0.1x; interpolation 
15180<= x < 15210; y_506 = -1438.0 + 0.1x; interpolation 
15210<= x < 15240; y_507 = 5153.0 + -0.3333333333333333x; interpolation 
15240<= x < 15270; y_508 = -5007.0 + 0.3333333333333333x; interpolation 
15270<= x < 15300; y_509 = 4155.0 + -0.26666666666666666x; interpolation 
15300<= x < 15330; y_510 = -4005.0 + 0.26666666666666666x; interpolation 
15330<= x < 15360; y_511 = 5193.0 + -0.3333333333333333x; interpolation 
15360<= x < 15390; y_512 = -5559.0 + 0.36666666666666664x; interpolation 
15390<= x < 15420; y_513 = 9318.0 + -0.6x; interpolation 
15420<= x < 15450; y_514 = -8672.0 + 0.5666666666666667x; interpolation 
15450<= x < 15480; y_515 = 9353.0 + -0.6x; interpolation 
15480<= x < 15510; y_516 = -967.0 + 0.06666666666666667x; interpolation 
15510<= x < 15540; y_517 = 1101.0 + -0.06666666666666667x; interpolation 
15540<= x < 15570; y_518 = -8741.0 + 0.5666666666666667x; interpolation 
15570<= x < 15600; y_519 = -956.0 + 0.06666666666666667x; interpolation 
15600<= x < 15630; y_520 = 8404.0 + -0.5333333333333333x; interpolation 
15630<= x < 15660; y_521 = -7747.0 + 0.5x; interpolation 
15660<= x < 15690; y_522 = 1127.0 + -0.06666666666666667x; interpolation 
15690<= x < 15720; y_523 = -965.0 + 0.06666666666666667x; interpolation 
15720<= x < 15750; y_524 = 607.0 + -0.03333333333333333x; interpolation 
15750<= x < 15780; y_525 = 8482.0 + -0.5333333333333333x; interpolation 
15780<= x < 15810; y_526 = -7824.0 + 0.5x; interpolation 
15810<= x < 15840; y_527 = 9040.0 + -0.5666666666666667x; interpolation 
15840<= x < 15870; y_528 = -9968.0 + 0.6333333333333333x; interpolation 
15870<= x < 15900; y_529 = 83.0 + 0.0x; interpolation 
15900<= x < 15930; y_530 = 83.0 + 0.0x; interpolation 
15930<= x < 15960; y_531 = 9641.0 + -0.6x; interpolation 
15960<= x < 15990; y_532 = -9511.0 + 0.6x; interpolation 
15990<= x < 16020; y_533 = 10743.0 + -0.6666666666666666x; interpolation 
16020<= x < 16050; y_534 = -9015.0 + 0.5666666666666667x; interpolation 
16050<= x < 16080; y_535 = 9175.0 + -0.5666666666666667x; interpolation 
16080<= x < 16110; y_536 = 18823.0 + -1.1666666666666667x; interpolation 
16110<= x < 16140; y_537 = -23063.0 + 1.4333333333333333x; interpolation 
16140<= x < 16170; y_538 = -4771.0 + 0.3x; interpolation 
16170<= x < 16200; y_539 = 80.0 + 0.0x; interpolation 
16200<= x < 16230; y_540 = 7100.0 + -0.43333333333333335x; interpolation 
16230<= x < 16260; y_541 = -7507.0 + 0.4666666666666667x; interpolation 
16260<= x < 16290; y_542 = 8211.0 + -0.5x; interpolation 
16290<= x < 16320; y_543 = -8622.0 + 0.5333333333333333x; interpolation 
16320<= x < 16350; y_544 = 8242.0 + -0.5x; interpolation 
16350<= x < 16380; y_545 = -2113.0 + 0.13333333333333333x; interpolation 
16380<= x < 16410; y_546 = 3347.0 + -0.2x; interpolation 
16410<= x < 16440; y_547 = -9234.0 + 0.5666666666666667x; interpolation 
16440<= x < 16470; y_548 = 8302.0 + -0.5x; interpolation 
16470<= x < 16500; y_549 = -8717.0 + 0.5333333333333333x; interpolation 
16500<= x < 16530; y_550 = 8333.0 + -0.5x; interpolation 
16530<= x < 16560; y_551 = -7646.0 + 0.4666666666666667x; interpolation 
16560<= x < 16590; y_552 = 8914.0 + -0.5333333333333333x; interpolation 
16590<= x < 16620; y_553 = -8229.0 + 0.5x; interpolation 
16620<= x < 16650; y_554 = 7837.0 + -0.4666666666666667x; interpolation 
16650<= x < 16680; y_555 = -8813.0 + 0.5333333333333333x; interpolation 
16680<= x < 16710; y_556 = 10091.0 + -0.6x; interpolation 
16710<= x < 16740; y_557 = -9961.0 + 0.6x; interpolation 
16740<= x < 16770; y_558 = 9569.0 + -0.5666666666666667x; interpolation 
16770<= x < 16800; y_559 = -9437.0 + 0.5666666666666667x; interpolation 
16800<= x < 16830; y_560 = 8483.0 + -0.5x; interpolation 
16830<= x < 16860; y_561 = -7786.0 + 0.4666666666666667x; interpolation 
16860<= x < 16890; y_562 = 8512.0 + -0.5x; interpolation 
16890<= x < 16920; y_563 = -7252.0 + 0.43333333333333335x; interpolation 
16920<= x < 16950; y_564 = 6848.0 + -0.4x; interpolation 
16950<= x < 16980; y_565 = -7277.0 + 0.43333333333333335x; interpolation 
16980<= x < 17010; y_566 = 8005.0 + -0.4666666666666667x; interpolation 
17010<= x < 17040; y_567 = -5603.0 + 0.3333333333333333x; interpolation 
17040<= x < 17070; y_568 = 5757.0 + -0.3333333333333333x; interpolation 
17070<= x < 17100; y_569 = -7899.0 + 0.4666666666666667x; interpolation 
17100<= x < 17130; y_570 = -1059.0 + 0.06666666666666667x; interpolation 
17130<= x < 17160; y_571 = 10361.0 + -0.6x; interpolation 
17160<= x < 17190; y_572 = -10231.0 + 0.6x; interpolation 
17190<= x < 17220; y_573 = 9824.0 + -0.5666666666666667x; interpolation 
17220<= x < 17250; y_574 = -9118.0 + 0.5333333333333333x; interpolation 
17250<= x < 17280; y_575 = 9282.0 + -0.5333333333333333x; interpolation 
17280<= x < 17310; y_576 = -9726.0 + 0.5666666666666667x; interpolation 
17310<= x < 17340; y_577 = 1237.0 + -0.06666666666666667x; interpolation 
17340<= x < 17370; y_578 = 8173.0 + -0.4666666666666667x; interpolation 
17370<= x < 17400; y_579 = -8618.0 + 0.5x; interpolation 
17400<= x < 17430; y_580 = 8782.0 + -0.5x; interpolation 
17430<= x < 17460; y_581 = -9229.0 + 0.5333333333333333x; interpolation 
17460<= x < 17490; y_582 = 8813.0 + -0.5x; interpolation 
17490<= x < 17520; y_583 = -8677.0 + 0.5x; interpolation 
17520<= x < 17550; y_584 = 8259.0 + -0.4666666666666667x; interpolation 
17550<= x < 17580; y_585 = -8121.0 + 0.4666666666666667x; interpolation 
17580<= x < 17610; y_586 = 8873.0 + -0.5x; interpolation 
17610<= x < 17640; y_587 = -8737.0 + 0.5x; interpolation 
17640<= x < 17670; y_588 = 8315.0 + -0.4666666666666667x; interpolation 
17670<= x < 17700; y_589 = 1836.0 + -0.1x; interpolation 
17700<= x < 17730; y_590 = -9374.0 + 0.5333333333333333x; interpolation 
17730<= x < 17760; y_591 = 9538.0 + -0.5333333333333333x; interpolation 
17760<= x < 17790; y_592 = -9998.0 + 0.5666666666666667x; interpolation 
17790<= x < 17820; y_593 = 10164.0 + -0.5666666666666667x; interpolation 
17820<= x < 17850; y_594 = -9438.0 + 0.5333333333333333x; interpolation 
17850<= x < 17880; y_595 = 10197.0 + -0.5666666666666667x; interpolation 
17880<= x < 17910; y_596 = -10663.0 + 0.6x; interpolation 
17910<= x < 17940; y_597 = 10829.0 + -0.6x; interpolation 
17940<= x < 17970; y_598 = -10699.0 + 0.6x; interpolation 
17970<= x < 18000; y_599 = 10865.0 + -0.6x; interpolation 
18000<= x < 18030; y_600 = -10735.0 + 0.6x; interpolation 
18030<= x < 18060; y_601 = 10300.0 + -0.5666666666666667x; interpolation 
18060<= x < 18090; y_602 = -10168.0 + 0.5666666666666667x; interpolation 
18090<= x < 18120; y_603 = 10937.0 + -0.6x; interpolation 
18120<= x < 18150; y_604 = -9599.0 + 0.5333333333333333x; interpolation 
18150<= x < 18180; y_605 = 9761.0 + -0.5333333333333333x; interpolation 
18180<= x < 18210; y_606 = -10237.0 + 0.5666666666666667x; interpolation 
18210<= x < 18240; y_607 = 10401.0 + -0.5666666666666667x; interpolation 
18240<= x < 18270; y_608 = -10879.0 + 0.6x; interpolation 
18270<= x < 18300; y_609 = 10436.0 + -0.5666666666666667x; interpolation 
18300<= x < 18330; y_610 = -10304.0 + 0.5666666666666667x; interpolation 
18330<= x < 18360; y_611 = 10470.0 + -0.5666666666666667x; interpolation 
18360<= x < 18390; y_612 = -10338.0 + 0.5666666666666667x; interpolation 
18390<= x < 18420; y_613 = 696.0 + -0.03333333333333333x; interpolation 
18420<= x < 18450; y_614 = 34466.0 + -1.8666666666666667x; interpolation 
18450<= x < 18480; y_615 = 641.0 + -0.03333333333333333x; interpolation 
18480<= x < 18510; y_616 = -34471.0 + 1.8666666666666667x; interpolation 
18510<= x < 18540; y_617 = 9953.0 + -0.5333333333333333x; interpolation 
18540<= x < 18570; y_618 = -9205.0 + 0.5x; interpolation 
18570<= x < 18600; y_619 = 9984.0 + -0.5333333333333333x; interpolation 
18600<= x < 18630; y_620 = -11096.0 + 0.6x; interpolation 
18630<= x < 18660; y_621 = 10639.0 + -0.5666666666666667x; interpolation 
18660<= x < 18690; y_622 = -10509.0 + 0.5666666666666667x; interpolation 
18690<= x < 18720; y_623 = 10673.0 + -0.5666666666666667x; interpolation 
18720<= x < 18750; y_624 = -10543.0 + 0.5666666666666667x; interpolation 
18750<= x < 18780; y_625 = 13831.999999999998 + -0.7333333333333333x; interpolation 
18780<= x < 18810; y_626 = -11834.0 + 0.6333333333333333x; interpolation 
18810<= x < 18840; y_627 = -1802.0 + 0.1x; interpolation 
18840<= x < 18870; y_628 = 82.0 + 0.0x; interpolation 
18870<= x < 18900; y_629 = 711.0 + -0.03333333333333333x; interpolation 
18900<= x < 18930; y_630 = 7641.0 + -0.4x; interpolation 
18930<= x < 18960; y_631 = -8134.0 + 0.43333333333333335x; interpolation 
18960<= x < 18990; y_632 = 10826.0 + -0.5666666666666667x; interpolation 
18990<= x < 19020; y_633 = -9430.0 + 0.5x; interpolation 
19020<= x < 19050; y_634 = -1188.0 + 0.06666666666666667x; interpolation 
19050<= x < 19080; y_635 = 10242.0 + -0.5333333333333333x; interpolation 
19080<= x < 19110; y_636 = -10110.0 + 0.5333333333333333x; interpolation 
19110<= x < 19140; y_637 = 12822.0 + -0.6666666666666666x; interpolation 
19140<= x < 19170; y_638 = -13336.0 + 0.7x; interpolation 
19170<= x < 19200; y_639 = 10307.0 + -0.5333333333333333x; interpolation 
19200<= x < 19230; y_640 = -8893.0 + 0.4666666666666667x; interpolation 
19230<= x < 19260; y_641 = 10337.0 + -0.5333333333333333x; interpolation 
19260<= x < 19290; y_642 = -10849.0 + 0.5666666666666667x; interpolation 
19290<= x < 19320; y_643 = 10370.0 + -0.5333333333333333x; interpolation 
19320<= x < 19350; y_644 = -10238.0 + 0.5333333333333333x; interpolation 
19350<= x < 19380; y_645 = 10402.0 + -0.5333333333333333x; interpolation 
19380<= x < 19410; y_646 = -10916.0 + 0.5666666666666667x; interpolation 
19410<= x < 19440; y_647 = 11082.0 + -0.5666666666666667x; interpolation 
19440<= x < 19470; y_648 = -10950.0 + 0.5666666666666667x; interpolation 
19470<= x < 19500; y_649 = 11116.0 + -0.5666666666666667x; interpolation 
19500<= x < 19530; y_650 = -10334.0 + 0.5333333333333333x; interpolation 
19530<= x < 19560; y_651 = 11149.0 + -0.5666666666666667x; interpolation 
19560<= x < 19590; y_652 = -11019.0 + 0.5666666666666667x; interpolation 
19590<= x < 19620; y_653 = 10530.0 + -0.5333333333333333x; interpolation 
19620<= x < 19650; y_654 = -10398.0 + 0.5333333333333333x; interpolation 
19650<= x < 19680; y_655 = 11217.0 + -0.5666666666666667x; interpolation 
19680<= x < 19710; y_656 = -5839.0 + 0.3x; interpolation 
19710<= x < 19740; y_657 = 5330.0 + -0.26666666666666666x; interpolation 
19740<= x < 19770; y_658 = -11120.0 + 0.5666666666666667x; interpolation 
19770<= x < 19800; y_659 = 12604.0 + -0.6333333333333333x; interpolation 
19800<= x < 19830; y_660 = -12476.0 + 0.6333333333333333x; interpolation 
19830<= x < 19860; y_661 = 11320.0 + -0.5666666666666667x; interpolation 
19860<= x < 19890; y_662 = -3244.0 + 0.16666666666666666x; interpolation 
19890<= x < 19920; y_663 = -6559.0 + 0.3333333333333333x; interpolation 
19920<= x < 19950; y_664 = 6057.0 + -0.3x; interpolation 
19950<= x < 19980; y_665 = -3253.0 + 0.16666666666666666x; interpolation 
19980<= x < 20010; y_666 = 3407.0 + -0.16666666666666666x; interpolation 
20010<= x < 20040; y_667 = -6598.0 + 0.3333333333333333x; interpolation 
20040<= x < 20070; y_668 = 6762.0 + -0.3333333333333333x; interpolation 
20070<= x < 20100; y_669 = -5280.0 + 0.26666666666666666x; interpolation 
20100<= x < 20130; y_670 = 4770.0 + -0.23333333333333334x; interpolation 
20130<= x < 20160; y_671 = -5295.0 + 0.26666666666666666x; interpolation 
20160<= x < 20190; y_672 = 6129.0 + -0.3x; interpolation 
20190<= x < 20220; y_673 = -5312.0 + 0.26666666666666666x; interpolation 
20220<= x < 20250; y_674 = 4798.0 + -0.23333333333333334x; interpolation 
20250<= x < 20280; y_675 = -4652.0 + 0.23333333333333334x; interpolation 
20280<= x < 20310; y_676 = -1272.0 + 0.06666666666666667x; interpolation 
20310<= x < 20340; y_677 = 82.0 + 0.0x; interpolation 
20340<= x < 20370; y_678 = -596.0 + 0.03333333333333333x; interpolation 
20370<= x < 20400; y_679 = 2120.0 + -0.1x; interpolation 
20400<= x < 20430; y_680 = -1960.0 + 0.1x; interpolation 
20430<= x < 20460; y_681 = 764.0 + -0.03333333333333333x; interpolation 
20460<= x < 20490; y_682 = -600.0 + 0.03333333333333333x; interpolation 
20490<= x < 20520; y_683 = 766.0 + -0.03333333333333333x; interpolation 
20520<= x < 20550; y_684 = 766.0 + -0.03333333333333333x; interpolation 
20550<= x < 20580; y_685 = 12411.0 + -0.6x; interpolation 
20580<= x < 20610; y_686 = 24073.0 + -1.1666666666666667x; interpolation 
20610<= x < 20640; y_687 = 2089.0 + -0.1x; interpolation 
20640<= x < 20670; y_688 = -26119.0 + 1.2666666666666666x; interpolation 
20670<= x < 20700; y_689 = -13028.0 + 0.6333333333333333x; interpolation 
20700<= x < 20730; y_690 = 18712.0 + -0.9x; interpolation 
20730<= x < 20760; y_691 = -17911.0 + 0.8666666666666667x; interpolation 
20760<= x < 20790; y_692 = 11845.0 + -0.5666666666666667x; interpolation 
20790<= x < 20820; y_693 = -11717.0 + 0.5666666666666667x; interpolation 
20820<= x < 20850; y_694 = 11879.0 + -0.5666666666666667x; interpolation 
20850<= x < 20880; y_695 = -11751.0 + 0.5666666666666667x; interpolation 
20880<= x < 20910; y_696 = 11913.0 + -0.5666666666666667x; interpolation 
20910<= x < 20940; y_697 = -12482.0 + 0.6x; interpolation 
20940<= x < 20970; y_698 = 12646.0 + -0.6x; interpolation 
20970<= x < 21000; y_699 = -13217.0 + 0.6333333333333333x; interpolation 
21000<= x < 21030; y_700 = 12683.0 + -0.6x; interpolation 
21030<= x < 21060; y_701 = -12553.0 + 0.6x; interpolation 
21060<= x < 21090; y_702 = 12719.0 + -0.6x; interpolation 
21090<= x < 21120; y_703 = -11886.0 + 0.5666666666666667x; interpolation 
21120<= x < 21150; y_704 = 12050.0 + -0.5666666666666667x; interpolation 
21150<= x < 21180; y_705 = -12625.0 + 0.6x; interpolation 
21180<= x < 21210; y_706 = 12791.0 + -0.6x; interpolation 
21210<= x < 21240; y_707 = -12661.0 + 0.6x; interpolation 
21240<= x < 21270; y_708 = 13535.0 + -0.6333333333333333x; interpolation 
21270<= x < 21300; y_709 = -12698.0 + 0.6x; interpolation 
21300<= x < 21330; y_710 = 13572.0 + -0.6333333333333333x; interpolation 
21330<= x < 21360; y_711 = -13446.0 + 0.6333333333333333x; interpolation 
21360<= x < 21390; y_712 = 12186.0 + -0.5666666666666667x; interpolation 
21390<= x < 21420; y_713 = 5769.0 + -0.26666666666666666x; interpolation 
21420<= x < 21450; y_714 = -5655.0 + 0.26666666666666666x; interpolation 
21450<= x < 21480; y_715 = -12090.0 + 0.5666666666666667x; interpolation 
21480<= x < 21510; y_716 = 11538.0 + -0.5333333333333333x; interpolation 
21510<= x < 21540; y_717 = -10689.0 + 0.5x; interpolation 
21540<= x < 21570; y_718 = 11569.0 + -0.5333333333333333x; interpolation 
21570<= x < 21600; y_719 = -13596.0 + 0.6333333333333333x; interpolation 
21600<= x < 21630; y_720 = 15203.999999999998 + -0.7x; interpolation 
21630<= x < 21660; y_721 = -14357.0 + 0.6666666666666666x; interpolation 
21660<= x < 21690; y_722 = 13801.0 + -0.6333333333333333x; interpolation 
21690<= x < 21720; y_723 = -13673.0 + 0.6333333333333333x; interpolation 
21720<= x < 21750; y_724 = 13115.0 + -0.6x; interpolation 
21750<= x < 21780; y_725 = -12985.0 + 0.6x; interpolation 
21780<= x < 21810; y_726 = 13151.0 + -0.6x; interpolation 
21810<= x < 21840; y_727 = -12294.0 + 0.5666666666666667x; interpolation 
21840<= x < 21870; y_728 = 13914.0 + -0.6333333333333333x; interpolation 
21870<= x < 21900; y_729 = -13788.0 + 0.6333333333333333x; interpolation 
21900<= x < 21930; y_730 = 13222.0 + -0.6x; interpolation 
21930<= x < 21960; y_731 = -13094.0 + 0.6x; interpolation 
21960<= x < 21990; y_732 = 12526.0 + -0.5666666666666667x; interpolation 
21990<= x < 22020; y_733 = -12396.0 + 0.5666666666666667x; interpolation 
22020<= x < 22050; y_734 = 12560.0 + -0.5666666666666667x; interpolation 
22050<= x < 22080; y_735 = -11695.0 + 0.5333333333333333x; interpolation 
22080<= x < 22110; y_736 = 11857.0 + -0.5333333333333333x; interpolation 
22110<= x < 22140; y_737 = -12464.0 + 0.5666666666666667x; interpolation 
22140<= x < 22170; y_738 = 12628.0 + -0.5666666666666667x; interpolation 
22170<= x < 22200; y_739 = -13237.0 + 0.6x; interpolation 
22200<= x < 22230; y_740 = 13403.0 + -0.6x; interpolation 
22230<= x < 22260; y_741 = -11791.0 + 0.5333333333333333x; interpolation 
22260<= x < 22290; y_742 = 11211.0 + -0.5x; interpolation 
22290<= x < 22320; y_743 = -11822.0 + 0.5333333333333333x; interpolation 
22320<= x < 22350; y_744 = 826.0 + -0.03333333333333333x; interpolation 
22350<= x < 22380; y_745 = 12001.0 + -0.5333333333333333x; interpolation 
22380<= x < 22410; y_746 = -13363.0 + 0.6x; interpolation 
22410<= x < 22440; y_747 = 6059.0 + -0.26666666666666666x; interpolation 
22440<= x < 22470; y_748 = -5909.0 + 0.26666666666666666x; interpolation 
22470<= x < 22500; y_749 = 12816.0 + -0.5666666666666667x; interpolation 
22500<= x < 22530; y_750 = -10434.0 + 0.4666666666666667x; interpolation 
22530<= x < 22560; y_751 = -2924.0 + 0.13333333333333333x; interpolation 
22560<= x < 22590; y_752 = 3092.0 + -0.13333333333333333x; interpolation 
22590<= x < 22620; y_753 = 11375.0 + -0.5x; interpolation 
